"lower","median","upper","sd","id","cells","lic.status"
0.00105620369361136,0.00164189427740807,0.00269189239708824,0.000422453333373391,"DW14","CD8+ TEMRA","Licensed"
0.00434388826098731,0.00566354843394143,0.00735877368833509,0.000779171120335934,"DW14","CD8+ TCM","Licensed"
0.00197253989601032,0.00292840012260687,0.00434611337001649,0.000612840480714851,"DW14","CD8+ TEMRA","Unlicensed"
0.00118573139711106,0.00184689053926205,0.00292590248349769,0.000456735636323469,"DW15","CD8+ TEMRA","Licensed"
0.000715980223293172,0.00134753253294834,0.00263738954724119,0.000494818947801544,"DW15","CD8+ TEMRA","Unlicensed"
0.000449576320232217,0.00108859478968329,0.00279764776362495,0.000637673455300835,"DW15","CD8+ TCM","Licensed"
0.00111887462178451,0.0019239528751681,0.00342424833408532,0.000594264099844144,"DW17","CD8+ TEMRA","Licensed"
0.00101860665296507,0.00179082676669426,0.00338835163976066,0.000611160510375063,"DW17","CD8+ TEMRA","KIR Negative"
0.00380932362268947,0.00578230059892106,0.00871457229777748,0.00128167870386037,"DW17","CD8+ TCM","KIR Negative"
0.000933117777259755,0.00166897997601143,0.00298640857086554,0.000554438825372372,"DW18","CD8+ TEMRA","Licensed"
0.00141545667536538,0.00274224598375855,0.00583193909898172,0.0011617661476103,"DW18","CD8+ TCM","Licensed"
0.00114032348236348,0.00204849023861634,0.00396819794359653,0.000730362063515233,"HC01","CD8+ TCM","Licensed"
0.000901217573432389,0.00163173678900326,0.00306156471255765,0.000561351871874883,"HC01","CD8+ TEMRA","Licensed"
0.00113804396491407,0.00224409022598865,0.00453081506976002,0.000865007239936823,"HC04","CD8+ TCM","KIR Negative"
0.0104279316434197,0.0133313735803607,0.0176335603415632,0.00184669743495714,"HC04","CD8+ TEMRA","KIR Negative"
0.00539420472605982,0.00760537434358151,0.0105638372758739,0.00131027939357097,"HC04","CD8+ TEMRA","Licensed"
0.002433407071342,0.00365706788817495,0.00571754968314733,0.000859744340800713,"HC06","CD8+ TCM","Licensed"
0.00137912847254365,0.00223754795108912,0.00405121244732437,0.000697785522489764,"HC06","CD8+ TCM","Unlicensed"
0.0021771457362421,0.0030793342999534,0.00474437940676251,0.000654881534946911,"HC06","CD8+ TEMRA","Licensed"
0.00183928212012852,0.00269554546484567,0.0041980991499908,0.000614195373500638,"HC06","CD8+ TEMRA","Unlicensed"
0.000963103660541539,0.0016434753654823,0.00286671988194606,0.000504475987993116,"HC07","CD8+ TCM","KIR Negative"
0.00128644848300782,0.00203631890190201,0.00345561290577804,0.000553252202606178,"HC07","CD8+ TCM","Licensed"
0.00196616785330588,0.00273887665952912,0.00401907671428999,0.000536606967284992,"HC07","CD8+ TEMRA","KIR Negative"
0.00229526388789812,0.00301217834282483,0.0043836995217495,0.000525390222546863,"HC07","CD8+ TEMRA","Licensed"
0.00137096533941773,0.00230607311930701,0.00413347117772616,0.000709315271449429,"HC08","CD8+ TCM","KIR Negative"
0.00143303378381673,0.00228526506439459,0.00373232938405405,0.000584646266649376,"HC08","CD8+ TEMRA","KIR Negative"
0.00151171464039669,0.00234031053901714,0.00390192049802631,0.000612641887404772,"HC08","CD8+ TEMRA","Licensed"
0.00183313488486129,0.00304462945494792,0.00531484837593786,0.000910297092957936,"HC09","CD8+ TCM","KIR Negative"
0.00100895151799845,0.00204168696043748,0.00441290458478197,0.000866840786945175,"HC09","CD8+ TCM","Licensed"
0.00242530535980863,0.00349030512243223,0.0052547425566386,0.000711711238125675,"HC09","CD8+ TEMRA","KIR Negative"
0.00356199577869892,0.00482194990033059,0.00688049712492572,0.000833063313712676,"HC09","CD8+ TEMRA","Licensed"
0.00874296654672614,0.0109485603333234,0.0137321382022029,0.00126720078951998,"HC11","CD8+ TCM","Licensed"
0.00384881524383275,0.00470011523462066,0.00606727814059592,0.000575639545524551,"HC11","CD8+ TEMRA","Licensed"
0.00342751200234676,0.00438884608576409,0.00587677991563312,0.000626944620021172,"HC11","CD8+ TEMRA","Unlicensed"
0.00197855169274261,0.00259505511491,0.00371459363023426,0.000442351488770541,"HC12","CD8+ TEMRA","Licensed"
0.00140322519914255,0.00228779748270862,0.00398837354273498,0.0006779049569935,"HC13","CD8+ TCM","Unlicensed"
0.00326218794025225,0.00426975315813395,0.00591794507258927,0.000678959671907859,"HC13","CD8+ TEMRA","Licensed"
0.00314644508112535,0.00403081994069098,0.00566534255612096,0.000649916898786968,"HC13","CD8+ TEMRA","Unlicensed"
0.00318215890599956,0.00423982928212046,0.00586599220021399,0.000689974648431598,"HT01","CD8+ TEMRA","KIR Negative"
0.00353836013090371,0.00471064516354621,0.0064155978022162,0.000759086798084511,"HT01","CD8+ TEMRA","Licensed"
0.00358291041583694,0.0049769951534979,0.00709082133638939,0.000890214653825713,"HT01","CD8+ TEMRA","Unlicensed"
0.00482369474267157,0.00637504462660129,0.0083779818320427,0.000928797100308982,"HT02","CD8+ TCM","Licensed"
0.00870751166523855,0.0108035865163607,0.0134825419282354,0.00124775003999651,"HT02","CD8+ TCM","KIR Negative"
0.0044680824682248,0.00548346925449959,0.00702880721007823,0.000676761698787806,"HT02","CD8+ TEMRA","Licensed"
0.00637961429844896,0.00779565328292111,0.00974941946665947,0.000866723249206265,"HT02","CD8+ TEMRA","KIR Negative"
0.00128991764950233,0.00186682614410077,0.00282362884258048,0.000393194809309466,"HT03","CD8+ TCM","Licensed"
0.00260478720567767,0.00321580077836415,0.00408913825331767,0.000381237762265908,"HT03","CD8+ TEMRA","Licensed"
