"par_name","lower","median","upper","sd","id"
"frac",0.0315387229078676,0.0352559850920634,0.0389936541787053,0.0019428488773694,"DW14"
"frac",0.0275747244606282,0.0312964758463446,0.0349836992873994,0.00189117706218218,"DW15"
"frac",0.0200818227804342,0.0235675136775017,0.0271499108470883,0.00182799183118907,"DW17"
"frac",0.0213445114320913,0.0251871186133344,0.028755284277684,0.00185943675441811,"DW18"
"frac",0.02276661531277,0.0273794133146485,0.0323896954181605,0.00245595384467453,"HC01"
"frac",0.0196397803249372,0.0233548475983103,0.0274953693345401,0.00200982724261136,"HC04"
"frac",0.0276302877268686,0.0316737726386046,0.0353251851568107,0.00191961266209136,"HC06"
"frac",0.0210375230979043,0.0255477114037038,0.0300088054034963,0.00224571311549663,"HC07"
"frac",0.0258878575708045,0.0297616815929068,0.0334481545429313,0.00190954033154973,"HC08"
"frac",0.0151381244830255,0.0186029735115462,0.0225682361278785,0.00190908947119187,"HC09"
"frac",0.0268030613158238,0.0304838757981844,0.0342706225067269,0.0018925143898515,"HC11"
"frac",0.0285338820503117,0.0334497718396696,0.0383175816496289,0.00247612792382823,"HC12"
"frac",0.0198003501409002,0.0234217155036587,0.0272341319242508,0.00186133434744981,"HC13"
"frac",0.0182952120498631,0.0226796180898832,0.0272490121642388,0.00224356097105825,"HT01"
"frac",0.0256955330615474,0.0296033006098789,0.0332238128872028,0.00188677526624808,"HT02"
"frac",0.0325748380936366,0.036300193100583,0.0400256751216234,0.0018795263146899,"HT03"
"frac",0.0107240126628897,0.0140245422661813,0.0177249951590824,0.00182551856722398,"HV01"
"frac",0.0324429604510931,0.036496486733392,0.040441078156546,0.0020454599203773,"HV02"
"frac",0.0175681468628968,0.021190131315786,0.0252947656178777,0.00197184262240636,"HV04"
"frac",0.021279428388538,0.0246524501032781,0.028233204220308,0.00178417828806157,"HV07"
"frac",0.0240112169583816,0.0274859092903302,0.0310859796370456,0.00181422351159706,"HV08"
"frac",0.0288111491558365,0.0329674838092254,0.036989783277884,0.00210502154064139,"HV10"
"frac",0.0195938490953527,0.0228576582131823,0.0276495868614311,0.00202323810967418,"HV12"
"b_w",3.75543890603588,4.29120111400163,4.93077046243105,0.303065029249102,"DW14"
"b_w",4.13141635932473,4.73307851423721,5.46877880037633,0.352994467048679,"DW15"
"b_w",4.21476319974466,5.10721362744547,6.11671562881743,0.481562113618792,"DW17"
"b_w",3.63907824143854,4.3312502023111,5.24035283258391,0.419839762586932,"DW18"
"b_w",3.40295430247366,4.17642392586184,5.1649696706285,0.449834242891192,"HC01"
"b_w",4.43012623285184,5.39481067282902,6.49448885088004,0.53379775947641,"HC04"
"b_w",3.35360581261285,3.94088123054824,4.61886698477282,0.320651245932618,"HC06"
"b_w",4.15986980440749,5.00885233464946,6.22920896870564,0.524127716540374,"HC07"
"b_w",3.31967951627234,3.90270623461963,4.62073202089813,0.328643325894478,"HC08"
"b_w",4.23056916268803,5.36796976019626,6.68849180895963,0.633056529019154,"HC09"
"b_w",4.21583800082281,4.8739631265277,5.68628625186292,0.369769654090512,"HC11"
"b_w",4.51713341204583,5.25972827412438,6.2552822977633,0.43871385526131,"HC12"
"b_w",4.39702005464629,5.30318115579868,6.39463523641484,0.502297981596111,"HC13"
"b_w",4.01915495369427,4.93221697413635,6.30570564367128,0.565809406356298,"HT01"
"b_w",4.40315874334173,5.09462572875238,5.93693828106607,0.396801144983734,"HT02"
"b_w",4.76691933766657,5.3586039982909,6.03278067174181,0.323910113686491,"HT03"
"b_w",3.56591520701511,4.79197747194438,6.59084252050908,0.762280509897415,"HV01"
