"lower","median","upper","sd","id","cells","lic.status"
0.00179334661771124,0.00804964472649678,0.023697987702638,0.00572573533398015,"DW14","CD8+ TEMRA","Licensed"
0.00699171040536772,0.0137901900007284,0.0224339955867018,0.00389394976634113,"DW14","CD8+ TCM","Licensed"
0.00354379665337303,0.0112733220225045,0.0247626691076107,0.00566535421095841,"DW14","CD8+ TEMRA","Unlicensed"
0.00173649682094668,0.00764999274299506,0.02156411932053,0.00535706368678642,"DW15","CD8+ TEMRA","Licensed"
0.00226722989214567,0.0114684277633808,0.037757480379454,0.00960867721740109,"DW15","CD8+ TEMRA","Unlicensed"
0.00344550533040299,0.0225603570949777,0.0982345473695677,0.0269033963989325,"DW15","CD8+ TCM","Licensed"
0.00205311173267844,0.0104515832495606,0.0337777609834134,0.00813204630472857,"DW17","CD8+ TEMRA","Licensed"
0.00248329616326863,0.0115516667631702,0.039289555503083,0.00976483891686544,"DW17","CD8+ TEMRA","KIR Negative"
0.00849862646609571,0.0218422123996668,0.0405294481801668,0.00825814605896607,"DW17","CD8+ TCM","KIR Negative"
0.00245266207496081,0.0109686976047395,0.0350246347193417,0.00911468430600873,"DW18","CD8+ TEMRA","Licensed"
0.00466660176698362,0.0213710826106919,0.0609926063896054,0.0146086928348914,"DW18","CD8+ TCM","Licensed"
0.00248702932882138,0.0131136526703444,0.0391080837380633,0.00953692265392403,"HC01","CD8+ TCM","Licensed"
0.00273776038831602,0.0129177481550238,0.038767089696167,0.00992829630355147,"HC01","CD8+ TEMRA","Licensed"
0.00311344855558292,0.0152385889794293,0.0492532541774976,0.0123584562379152,"HC04","CD8+ TCM","KIR Negative"
0.0152436525665223,0.0226916421857749,0.0332421127563159,0.00460193124028046,"HC04","CD8+ TEMRA","KIR Negative"
0.00648626943116942,0.0152554124605949,0.0268806463522233,0.00519832390996023,"HC04","CD8+ TEMRA","Licensed"
0.00362933090388714,0.0129964177231406,0.0285380036868284,0.00657309831122219,"HC06","CD8+ TCM","Licensed"
0.00272862057865321,0.0126075576499749,0.0367337358848559,0.0088280579792458,"HC06","CD8+ TCM","Unlicensed"
0.00199162548634346,0.00858538574149124,0.0214857417715373,0.00532295988774841,"HC06","CD8+ TEMRA","Licensed"
0.00211632271066266,0.00889290830598946,0.0230957908596489,0.00562210363398225,"HC06","CD8+ TEMRA","Unlicensed"
0.00216597838070767,0.0114475954872768,0.0339443172863211,0.00829587641955366,"HC07","CD8+ TCM","KIR Negative"
0.00217604460647397,0.0101760304874752,0.0298097784930931,0.00726703687099381,"HC07","CD8+ TCM","Licensed"
0.00141900823901398,0.00726163338319866,0.0189552642986077,0.00459986916893812,"HC07","CD8+ TEMRA","KIR Negative"
0.00142191782825328,0.00574308178612627,0.0153346824964795,0.00367795975307532,"HC07","CD8+ TEMRA","Licensed"
0.00250205553756392,0.0117032628588991,0.0338304187384199,0.00821290226831237,"HC08","CD8+ TCM","KIR Negative"
0.00219209051642951,0.00942315411838615,0.0280568064083211,0.00676036071120675,"HC08","CD8+ TEMRA","KIR Negative"
0.00209996096407583,0.00929649763856315,0.0264414573502732,0.00666409428675655,"HC08","CD8+ TEMRA","Licensed"
0.00309079731176004,0.0133381158926011,0.0346785474928378,0.00843473230658314,"HC09","CD8+ TCM","KIR Negative"
